,Case,Sample 1,Sample 2,Sample 3
0,00011827_003.png,1,1,1
1,00011925_072.png,4,3,3
2,00012045_019.png,1,5,1
3,00012094_040.png,5,3,1
4,00012174_000.png,3,4,2
5,00012270_005.png,4,4,5
6,00012414_000.png,3,1,1
7,00012592_005.png,5,4,2
8,00012829_004.png,3,5,5
9,00012892_010.png,3,3,3
10,00013337_000.png,5,3,3
11,00013673_001.png,3,5,2
12,00013685_000.png,3,3,3
13,00013751_003.png,4,5,2
14,00013911_021.png,4,5,2
15,00013951_001.png,3,5,5
16,00013977_005.png,1,5,1
17,00013991_000.png,5,5,5
18,00014015_003.png,4,3,5
19,00014251_029.png,4,5,2
20,00014280_000.png,4,3,2
21,00014447_004.png,4,2,2
22,00015792_005.png,4,4,2
23,00016267_000.png,5,5,1
24,00016429_015.png,4,4,2
25,00016587_069.png,3,3,1
26,00016589_005.png,1,5,5
27,00017028_000.png,4,4,2
28,00017137_016.png,3,5,2
29,00017214_015.png,4,4,3
30,00017243_010.png,3,3,2
31,00018063_000.png,1,5,1
32,00018366_000.png,3,5,3
33,00018980_002.png,1,5,1
34,00019013_002.png,2,3,2
35,00019124_090.png,3,4,2
36,00019495_004.png,3,1,2
37,00019767_016.png,4,1,1
38,00020000_000.png,3,4,5
39,00020124_003.png,4,2,2
